official_name,lat,lon
MBAGATHI ROAD PRIMARY SCHOOL,-1.305458, 36.801164
PEACE JUNIOR SCH PRI,-1.309139, 36.800238
SHADRACK KIMALEL PRI SCH,-1.30731, 36.798052
GOLF COURSE ACADEMY,-1.308049, 36.796241
JOSEPH KANGETHE  PRIMARY SCH,-1.300632, 36.783725
TOI PRI SCH,-1.303054, 36.779632
NAIROBI PENTECOSTAL CHURCH WOODLEY PRI SCH,-1.300671, 36.772869
ST LAZARUS COMMUNITY SCH,-1.313031, 36.798351
CHEPOR PRI SCH,-1.31357, 36.794979
LIMIGOSHEP CHILDREN CENTER PRI SCH,-1.327655, 36.82383
CHRISCO ED CENTER PRI,-1.30409, 36.77617
"L, AZIZI KINDERGATEN PRI",-1.30363, 36.77078
MAGOSO PRIMARY,-1.30789, 36.79242
ST. JULIETS EDUCATION CENTRE PRI SCH.,-1.309825, 36.78378
ANTIOCH ACADEMY PRI SCH.,-1.305284, 36.779213
AL MAURAJA TUS SAIPIYAH TUS BURHANIYAH (MSB) PRI SCH.,-1.36194, 36.75525
GALILAYA C. O. MISSION ACADEMY PRI SCH.,-1.30964, 36.77521
EUNIVERS CHILDREN PRI SCH.,-1.31373, 36.7903
NGONG FOREST PRIMARY SCHOOL,-1.303246, 36.723752
ST. HANNAHS' PRI SCH.,-1.304322, 36.686819
FOREST VIEW ACADEMY PRI,-1.29856, 36.680334
ST. ELIZABETH ACADEMY PRI,-1.323838, 36.705324
ST. MARYS KAREN PRI,-1.322661, 36.710275
OUR LADY OF PEACE PRI,-1.322535, 36.709386
HILLCREST PRI,-1.33816, 36.733392
BUNKA AND BIDDLES PRI,-1.330615, 36.734534
GLORY PRI SCH KAREN,-1.337229, 36.736263
DON BOSCO PRI,-1.324824, 36.740961
KAREN C PRI SCH,-1.335687, 36.741317
HERITAGE SCH OF KENYA NUR,-1.338473, 36.747973
NAIROBI ACADEMY PRI,-1.337542, 36.750791
AL MADRASA PRI,-1.361877, 36.75703
CHURCH OF THE ROCK ACADEMY- PRI,-1.357973, 36.725311
ST FRANCIS INTEGRATED PRI SCH,-1.371604, 36.744242
KILIMANI JUNIOR ACADEMY,-1.362155, 36.744474
THE NAIROBI JAPANESE SCH-ELEMENTARY,-1.33313, 36.750881
SHILIDA ACADEMY-PRI,-1.334885, 36.755387
BOMA PARK PRI SCH,-1.337619, 36.765773
BROOKHOUSE SCHOOLS-PRI,-1.342063, 36.764667
BANDA SCHOOL-PRI,-1.363317, 36.765239
LANGATA BARRACKS PRI SCH,-1.327767, 36.787317
LANGATA WEST PRI  SCH,-1.320422, 36.779689
LANGATA JUNIOR ACADEMY,-1.326415, 36.781469
PCEA LANGATA PRI SCH,-1.327425, 36.781245
TALENT ACADEMY PRI.,-1.321777, 36.784832
NGEI PRI SCH,-1.320915, 36.784993
MALEZI SCHOOL PRI,-1.318627, 36.787432
UHURU GARDENS PRI SCH,-1.325352, 36.787831
LANGATA ROAD PRI SCH,-1.314933, 36.811195
MADARAKA PRI SCH,-1.305902, 36.815477
JONATHAN GLOAG ACADEMY,-1.305902, 36.815477
