official_name,lat,lon,Code,School Address,Public or Private,School Sponsor,Girls/Boys/Mixed,Day or Boarding,Ordinary or Special,Total Enrolment 2007,Total Teaching staff,Pupil Teacher Ratio,Acreage per enrolment,TSC Male Teachers,TSC Female Teachers,Local Authority Male Teachers,Local Authority Female Teachers,PTA Board of Governors Male Teacher,PTA Board of Governors Female Teacher,Other Male Teachers,Other Female Teachers,Non Teaching Staff Male,Non Teaching Staff Female,Acreage,District,Location,Sublocation,School Zone,Costituency,Province
ST. NICHOLAS SENIOR SHOOL - SEC,-1.300428, 36.791216,N1010014,52778-00200 NAIROBI,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,13,0.0,0.0,0,0,0,0,7,6,0,0,4,5,5,DAGORETTI,KENYATTA/GOLF COURSE,GOLF COURSE,,DAGORETTI,NAIROBI
MOI GIRLS SCH - NAIROBI,-1.301216, 36.783265,N1010015,43112 NAIROBI,PUBLIC,PRIVATE INDIVIDUAL,GIRLS ONLY,BOARDING ONLY,INTEGRATED,0,54,0.0,,10,43,0,0,1,0,0,0,30,25,0,DAGORETTI,KENYATTA/GOLF COURSE,WOODLY,RIRUTA,DAGORETTI,NAIROBI
SIFMA SECONDARY SCH.,-1.31092, 36.79107,P1011183,67611 NAIROBI,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,19,9,2.1,19.0,0,0,0,0,0,0,6,3,1,1,1,KIBERA,KIBERA,LAINI SABA,KAREN,LANGATA,NAIROBI
ST. CHRISTOPHERS' SEC SCH,-1.315526, 36.714007,R1010002,21378  00505 ADAMS,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,203,22,9.2,20.3,0,0,0,0,0,0,12,10,16,20,10,KIBERA,KAREN,LENANA,,LANGATA,NAIROBI
ST. ELIZABETH BOYS HIGH SCH,-1.307383, 36.693746,R1010003,313 NAIROBI,PRIVATE,PRIVATE INDIVIDUAL,BOYS ONLY,BOARDING ONLY,ORDINARY,225,20,11.2,11.2,0,0,0,0,0,0,18,2,2,8,20,KIBERA,KAREN,KAREN,,LANGATA,NAIROBI
ST. HANNAH SEC SCH,-1.304322, 36.686819,R1010006,46988-00100 NAIROBI,PRIVATE,PRIVATE INDIVIDUAL,GIRLS ONLY,BOARDING ONLY,ORDINARY,76,18,4.2,15.2,0,0,0,0,0,0,12,6,0,0,5,KIBERA,KAREN,KAREN,KAREN,LANGATA,NAIROBI
ST. ELIZABETH ACADEMY SEC,-1.323838, 36.705324,R1010012,313 KAREN,PRIVATE,PRIVATE INDIVIDUAL,GIRLS ONLY,BOARDING ONLY,ORDINARY,194,17,11.4,48.5,0,0,0,0,0,0,11,6,5,7,4,KIBERA,KAREN,KAREN,,LANGATA,NAIROBI
ST. HANNAHS' BOYS HIGH SCH,-1.325525, 36.72191,R1010019,46988-00100 NAIROBI,PRIVATE,PRIVATE INDIVIDUAL,BOYS ONLY,BOARDING ONLY,ORDINARY,106,17,6.2,23.0,0,0,0,0,0,0,11,6,13,12,4.6,KIBERA,LANGATA,LANGATA,KAREN,LANGATA,NAIROBI
HILLCREST SEC SCHOOL,-1.33816, 36.73392,R1010020,24819 NAIROBI,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,388,55,7.1,10.5,38,17,0,0,0,0,0,0,55,0,37,KIBERA,LANGATA,HARDY,WEST,LANGATA,NAIROBI
RASUL AL AKRAM SEC SCH,-1.335687, 36.746421,R1010031,33058-00600 NAIROBI,PRIVATE,RELIGIOUS ORGANIZATION,BOYS ONLY,BOARDING ONLY,ORDINARY,326,20,16.3,65.2,0,0,0,0,0,0,20,0,8,4,5,KIBERA,LANGATA,LANGATA,KAREN,LANGATA,NAIROBI
KAREN C SEC SCH,-1.335687, 36.741317,R1010033,1774-00502 NAIROBI,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,44,5,8.8,18.3,0,2,0,0,0,3,0,0,0,1,2.41,KIBERA,KARENGATA,LANGATA,KAREN,LANGATA,NAIROBI
NAIROBI ACADEMY SEC,-1.337542, 36.750791,R1010036,24817 NAIROBI,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,112,23,4.9,5.6,0,0,0,0,0,0,13,10,0,0,20,KIBERA,LANGATA,LANGATA,KAREN,LANGATA,NAIROBI
KAREN SOUTH SEC SCH,-1.340948, 36.742088,R1010039,17939-00500,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,33,14,2.4,6.6,0,0,0,0,0,0,9,5,4,2,5,KIBERA,LANGATA,KAREN,KAREN,LANGATA,NAIROBI
AL MADRASA SEC SCH,-1.361877, 36.75703,R1010042,11933 NAIROBI,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,INTEGRATED,80,10,8.0,3.0,0,0,0,0,0,0,8,2,3,1,27,KIBERA,LANGATA,HARDY,,LANGATA,NAIROBI
JARMAT GIRLS SEC SCH,-1.327245, 36.734311,R1010044,74782-00200  NBI,PRIVATE,PRIVATE INDIVIDUAL,GIRLS ONLY,BOARDING ONLY,ORDINARY,17,5,3.4,,0,0,0,0,0,0,1,4,1,1,0,KIBERA,LANGATA,LANGATA,,LANGATA,NAIROBI
KARENGATA ACADEMY,-1.357973, 36.725311,R1010049,15255-00509,PRIVATE,PRIVATE INDIVIDUAL,BOYS ONLY,BOARDING ONLY,ORDINARY,154,18,8.6,51.3,0,0,0,0,0,0,14,4,12,4,3,KIBERA,LANGATA,KAREN,KAREN,LANGATA,NAIROBI
THE NAIROBI JAPANESE SCH-JUNIOR HIGH,-1.33313, 36.755387,R1010055,,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,,,0,0,0,0,0,0,0,0,0,0,0,KIBERA,LANGATA,LANGATA,,LANGATA,NAIROBI
BROOKHOUSE SCHOOLS- SEC,-1.342063, 36.764677,R1010062,24987-00502,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY & BOARDING,INTEGRATED,206,32,6.4,15.6,0,0,0,0,0,0,17,15,38,14,13.2,KIBERA,LANGATA,LANGATA,LANGATA,LANGATA,NAIROBI
LANGATA HIGH SCH,-1.322165, 36.782124,R1010076,47990-00100 NAIROBI,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,617,34,18.1,47.5,11,23,0,0,0,0,0,0,8,8,13,KIBERA,MUGUMOINI,MUGUMOINI,LANGATA WEST,LANGATA,NAIROBI
